Generation,Fitness,Amplitude,Phase,Offset
1,0.6399484195036643,"[0.30673866 0.30681586 0.28399945 0.41575556 0.46409133 0.02124188
 0.26640213 0.20843519 0.25137064 0.36949225]","[0.26790749 0.30873237 0.11407891 0.15546982 0.39274353 0.51373752
 0.1471803  0.23455601 0.33367965 0.33780092]","[0.19122627 0.49999907 0.27354095 0.06529088 0.25785769 0.30011852
 0.1998232  0.14701736 0.24861063 0.37113473]"
1,0.7964607798194152,"[0.05875966 0.43178998 0.31784933 0.49888949 0.23387256 0.22043045
 0.19596225 0.25272851 0.33922921 0.33299079]","[0.10990765 0.22525127 0.30381731 0.18419396 0.37422289 0.24841684
 0.2282587  0.24228927 0.26640276 0.2001862 ]","[ 0.14591561  0.00317511 -0.07810823  0.2091971   0.17580481  0.28101042
  0.16723635  0.28042262  0.19381049  0.10205178]"
1,0.9001087064921556,"[0.29601012 0.1158254  0.18014811 0.26426457 0.28026439 0.42378661
 0.49559542 0.14270136 0.14653579 0.29892895]","[0.17311203 0.34236188 0.32672579 0.1980708  0.26270671 0.28978399
 0.37015965 0.22130008 0.25118044 0.23219242]","[0.04771284 0.14607058 0.20276168 0.23344425 0.26881596 0.21319866
 0.29115551 0.3918653  0.24754557 0.30300478]"
1,0.9214804214337218,"[0.33748949 0.12938517 0.14847806 0.36575589 0.3306299  0.31052241
 0.07811407 0.37081078 0.08116271 0.37813665]","[0.16616624 0.2432314  0.21493825 0.33505483 0.36017996 0.38300271
 0.40209686 0.20347467 0.28827052 0.25637974]","[0.26263933 0.37507765 0.37420548 0.32893326 0.26827797 0.08471516
 0.36453918 0.25301646 0.48856047 0.44794393]"
1,0.6509061120945818,"[0.25976688 0.33899113 0.32496161 0.2859025  0.21365237 0.3808468
 0.39355403 0.31425834 0.11840188 0.24805023]","[0.24686258 0.20936585 0.37209432 0.43785812 0.32095907 0.24843842
 0.26093121 0.30588154 0.26399311 0.23605925]","[0.22535884 0.22965631 0.25233839 0.26325998 0.30502189 0.17300308
 0.17244812 0.34623871 0.22283997 0.27362114]"
1,0.7292150028234006,"[0.2213001  0.19233765 0.07904389 0.39841027 0.29906918 0.17227767
 0.29563286 0.22363183 0.34228146 0.23895917]","[0.38551736 0.05276372 0.13832331 0.3515638  0.07169673 0.13322129
 0.29086309 0.35951861 0.31527259 0.24594567]","[0.11929443 0.1935926  0.17277559 0.15003612 0.18729355 0.30801384
 0.23982424 0.34339231 0.15640689 0.29612778]"
1,0.5457743230799834,"[0.23004917 0.09565215 0.32297551 0.04272385 0.22832723 0.2574382
 0.21347541 0.36924994 0.32244212 0.08805563]","[0.36151852 0.27415424 0.22336697 0.27289669 0.22258063 0.08005884
 0.28038701 0.28437753 0.19128292 0.47403669]","[0.37154531 0.36627865 0.1514431  0.19836459 0.18326074 0.18591268
 0.28698499 0.08476262 0.2757914  0.12753074]"
1,0.8791225656542491,"[0.35801682 0.29448047 0.28132665 0.27815305 0.18320205 0.27935433
 0.31600015 0.29174864 0.23477295 0.21254889]","[0.30251416 0.37023846 0.24874274 0.24182199 0.24706898 0.2544547
 0.47177445 0.21183252 0.34247641 0.3245838 ]","[0.19549416 0.39210506 0.19201299 0.26400237 0.32365707 0.30251766
 0.37246709 0.24995512 0.09264611 0.37545081]"
1,0.6709701815192081,"[0.19173223 0.04394198 0.19683721 0.25104046 0.29806692 0.4999405
 0.36444256 0.19726097 0.32187893 0.23035817]","[0.18248669 0.09719171 0.18662815 0.33916223 0.17928922 0.12540845
 0.04242781 0.30744022 0.30173344 0.20513682]","[0.29814157 0.38447627 0.2658971  0.19980062 0.29101651 0.3232326
 0.26927923 0.29554172 0.31472338 0.21457122]"
1,0.9385520448625906,"[0.49262934 0.26967039 0.19126485 0.23648994 0.27123419 0.23230935
 0.25891977 0.19924649 0.26186545 0.10281755]","[0.25274979 0.17393315 0.10469459 0.2900706  0.22121628 0.04422713
 0.29608121 0.15799416 0.22981321 0.0048078 ]","[0.16498615 0.18811009 0.14979333 0.34842919 0.13473195 0.42671127
 0.22700213 0.36660752 0.27306074 0.19183865]"
1,0.6203708774028908,"[0.2675855  0.33191306 0.26628974 0.22352491 0.15866574 0.31388857
 0.35898239 0.3390594  0.43376961 0.23931272]","[0.27950223 0.42472266 0.18493995 0.14858921 0.21945522 0.27892932
 0.35146016 0.22171523 0.29680832 0.22097234]","[0.30874524 0.13090948 0.3147212  0.23094725 0.33702354 0.38729772
 0.3128445  0.42228616 0.36959127 0.3826155 ]"
1,0.49136596217019934,"[0.13132328 0.30637663 0.42411419 0.23270664 0.2437758  0.33435352
 0.18556318 0.48141631 0.10827428 0.14839838]","[0.30041212 0.32795892 0.14472548 0.21863557 0.09540949 0.16421414
 0.0417098  0.12838913 0.11984851 0.34455974]","[0.36373256 0.26067077 0.19519917 0.2772824  0.35112467 0.12064672
 0.19571744 0.31700283 0.31406091 0.21055262]"
1,0.5504064863866278,"[0.26532103 0.40597768 0.24672903 0.39486767 0.24052815 0.1313934
 0.21462651 0.22726221 0.17909439 0.32875726]","[0.15225023 0.26226292 0.08180304 0.18269306 0.18032675 0.20032267
 0.19058958 0.15477215 0.07180732 0.13088357]","[0.34053451 0.28016709 0.17239646 0.29581717 0.30733246 0.24332373
 0.35425391 0.33132597 0.14080659 0.18525546]"
1,0.37664653928935937,"[0.29217461 0.33392989 0.12853168 0.2970036  0.02512129 0.17906709
 0.33784985 0.09112401 0.37074081 0.28023701]","[0.19624354 0.36559962 0.23597311 0.12675077 0.18990374 0.2163353
 0.31513767 0.29988515 0.22319228 0.43696631]","[0.25025434 0.19781278 0.3539323  0.04314886 0.14677771 0.19776075
 0.27541128 0.222033   0.18926953 0.19277202]"
